word,count
continue,3
community,2
shop,2
signage,2
family,2
option,2
provide,1
opportunity,1
engage,1
stop,1
live,1
organize,1
flash,1
mob,1
smaller,1
mom,1
pop,1
social,1
medium,1
volunteer,1
specific,1
time,1
date,1
flood,1
commitment,1
purchase,1
vendor,1
store,1
brought,1
awareness,1
